ticker,trade_number,entry_date,entry_price,exit_date,exit_price,return_pct,winner,next_open_entry_price,next_open_return_pct,next_open_winner,rsi14_signal,rsi_change_signal,volume_ratio_signal,volume_percentile60_signal,rsi14_prior,volume_ratio_prior,volume_percentile60_prior,atr_pct_prior,above_sma200_prior,sma50_over_200_prior,return_5d_prior,return_20d_prior,body_pct_signal,close_location_signal,price_change_signal,price_up_signal,rsi_cross_up_50,rsi_cross_up_50_price_up,rsi_cross_up_50_last_3_price_up,forward_return_1d_from_close,forward_return_1d_from_next_open,forward_return_5d_from_close,forward_return_5d_from_next_open,forward_return_10d_from_close,forward_return_10d_from_next_open,forward_return_20d_from_close,forward_return_20d_from_next_open,anchor_span,bars_after_anchor,line_drop_pct,breakout_pct
AAPL,1,2021-10-05,140.9,2021-10-06,139.47,-1.315,0,139.47,-0.3,0,,,,,,,,,0,0,-4.285616014308324,,1.1613735751666818,0.6076388888888898,1.415840160988946,1,0,0,0,0.6307136276663572,1.8140101814010157,0.28346679895114857,1.4626801462680028,5.421302529941174,6.660930666093057,6.314222946637371,7.56435075643509,6.0,1.0,3.5121154369725,2.0171546792337838e-14
AAPL,2,2021-10-07,143.06,2021-10-08,143.06,-0.3,0,144.03,-0.9734708046934659,0,,,,,,,,,0,0,-0.5811104109780918,,0.16077170418005715,0.37999999999999545,0.9084507042253387,1,0,0,0,-0.272175308814282,-0.7845587724779501,0.32800614139159023,-0.18746094563633076,4.319910670667881,3.7839339026591645,5.352781073347779,4.811497604665704,,,,
AAPL,3,2021-10-15,144.03,2021-10-18,143.45,-0.703,0,143.45,-0.3,0,34.80869145400254,3.6457241836725984,,,31.162967270329943,,,1.76764081037282,0,0,0.32800614139159023,,0.7442442790568221,0.9568345323740995,0.7512520868113715,1,0,0,0,1.1806130903065482,2.161031718368789,2.6581054957194095,3.6528407110491434,3.424468378900869,4.426629487626377,3.5556476111571422,4.5590798187521875,,,,
AAPL,4,2021-10-19,147.01,2021-11-26,159.57,8.244,1,148.7,7.010020174848693,1,46.38855444596924,6.180284877055271,,,40.20826956891397,,,1.7373958616187364,0,0,2.6188642251943284,,1.1903952112101217,0.8435114503816793,1.5080177413851814,1,0,0,0,0.33611185802635557,0.3765971755211872,0.37644528098952357,0.41694687289846044,0.8470018822264169,0.8876933422999445,1.5057811239580499,1.546738399462022,,,,
AAPL,5,2021-11-29,159.57,2021-12-02,158.74,-0.82,0,159.99,-1.0812988311769485,0,63.37332318392359,5.995432782842691,1.1427891535713788,0.7555555555555555,57.3778904010809,0.9764588556522092,0.6590909090909091,2.0050063986216116,0,0,-0.6714385253689725,2.779052238316848,0.5458994791993503,0.6041666666666723,2.1873604999681273,1,0,0,0,3.1577633549675577,3.3189574348396755,3.170244633050423,3.3314582161384942,9.672990514228651,9.844365272829547,11.888417373939086,12.063253953372065,,,,
AAPL,6,2021-12-03,164.02,2021-12-08,172.13,4.645,1,164.29,4.472049424797617,1,60.95376979306463,-4.9642101466869875,1.3249121337019236,0.8979591836734694,65.91797993975162,1.6092917191959002,0.9375,2.3286795488686045,0,0,1.123873039397294,8.099544524391034,-1.3291062065601795,0.4045801526717559,-1.1724474841230959,0,0,0,0,2.1502718734552673,0.626940166778267,10.881117152743446,9.227585367338232,5.7464162135442365,4.1694564489622055,12.462926347009384,10.785805587680318,,,,
AAPL,7,2021-12-10,175.21,2021-12-14,175.21,-0.3,0,181.12,-3.563030035335687,0,78.1193321861965,3.7247924592139867,1.1255546323535939,0.8148148148148148,74.39453972698252,1.0855158516605077,0.7924528301886793,2.4019923716435416,0,0,6.595017098192479,18.009734991887516,2.41995319901831,0.9635627530364359,2.801329055911994,1,0,0,0,-2.0674282529952515,-2.970406360424027,-4.63081638339371,-5.510159010600713,0.4903872945110299,-0.4361749116607694,-4.045695179715791,-4.9304328621908144,,,,
AAPL,8,2021-12-15,175.25,2021-12-16,175.11,-0.38,0,179.28,-2.625970548862108,0,71.4302959466416,4.518760149033966,1.1423699587799263,0.8947368421052632,66.91153579760764,1.2588386808459773,0.9464285714285714,2.582513449455195,0,0,1.8401682439537437,16.220000000000013,2.3927816800868014,0.9721835883171087,2.8509149314518423,1,0,0,0,-3.92638036809817,-3.915662650602414,-2.0412716118237695,-2.0303435966086636,-0.613496932515345,-0.6024096385542244,-3.9654210819855096,-3.954707719767958,,,,
AAPL,9,2021-12-21,171.56,2021-12-29,179.33,4.229,1,173.04,3.334997688395759,1,59.09094458185221,3.7924539406895192,0.73668600726063,0.6,55.298490641162694,0.8650527356656745,0.7,2.8935673769012364,0,0,-3.4084442927051373,5.730302086577388,0.8335276288179103,0.9485294117647107,1.9086892488954454,1,0,0,0,1.5318804555176424,1.5025427646786937,3.693855136135027,3.6638927415626465,1.1156714260939893,1.0864539990753652,-4.902017457656527,-4.929496070272766,2.0,1.0,5.3157072735385995,3.9852107767372718
AAPL,10,2021-12-30,179.47,2021-12-31,178.09,-1.069,0,178.09,-0.3,0,62.435587266051144,-2.3758307246005614,0.5150776968246454,0.18333333333333332,64.8114179906517,0.512604749771708,0.25,2.372532015438705,0,0,3.693855136135027,8.517846339987889,-0.707639159748153,0.04435483870967164,-0.6578213847697634,0,0,0,0,-0.35353535353535026,-0.29198719748442237,-3.479236812570141,-3.4196192936155945,-3.372615039281701,-3.312931663765517,-4.416386083052737,-4.357347408613621,,,,
